英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Paulo Cortez,14109,fQ42U-8AAAAJ,http://www3.dsi.uminho.pt/pcortez,PauloCortez4,https://pt.linkedin.com/in/paulocortez
James Spall,14092,G88SUVkAAAAJ,https://sites.google.com/view/james-spall,,
Charles Anderson,14027,NhnK838AAAAJ,http://www.cs.colostate.edu/~anderson,,
Fabio Petroni,13285,vxQc2L4AAAAJ,,Fabio_Petroni,https://uk.linkedin.com/in/petronifabio
Jung-Woo Ha,13004,eGj3ay4AAAAJ,,JungWooHa2,https://www.linkedin.com/in/jung-woo-ha-b2782862/
R Devon Hjelm,12820,68c5HfwAAAAJ,,devon_hjelm,https://www.linkedin.com/in/devon-hjelm-a54b175
Leon A. Gatys,12806,ADMVEmsAAAAJ,,,https://www.linkedin.com/in/lgatys
Xun Huang,12409,1XGC4GsAAAAJ,,xunhuang1995,https://www.linkedin.com/in/xunhuang1995
Nils Hammerla,12400,Qk_ziKsAAAAJ,,nhammerla,https://uk.linkedin.com/in/nhammerla
Shashaank Vattikuti,12035,CdFCXDQAAAAJ,,,
Michal Valko,11698,jrazNCQAAAAJ,,misovalko,https://www.linkedin.com/posts/michalvalko_byolforever-activity-7192875931701530624-wEic
Gautier Izacard,11556,aL3MllMAAAAJ,,gizacard,https://fr.linkedin.com/in/gizacard
Arthur Mensch,11546,F8riAN8AAAAJ,,arthurmensch,https://www.linkedin.com/in/arthur-mensch/
Connor Shorten,11400,YKuiy20AAAAJ,,CShorten30,https://www.linkedin.com/in/connor-shorten-91860a135
Irina Jurenka,11032,YWVuCKUAAAAJ,,,https://uk.linkedin.com/in/irina-jurenka-74455235
Jacob Menick,10542,te_gpaEAAAAJ,,jacobmenick,https://uk.linkedin.com/in/jacob-menick-5a277a135
Ari Holtzman,10265,jtrAdywAAAAJ,,universeinanegg,https://www.linkedin.com/in/ari-holtzman-1b620a149?trk=people-guest_people_search-card
Timothée Lacroix,10203,tZGS6dIAAAAJ,,tlacroix6,https://fr.linkedin.com/in/timothee-lacroix-59517977
Andrea Prati,10024,PJAxU3QAAAAJ,,,https://www.linkedin.com/in/andrea-prati-73827a1/
Baptiste Rozière,9972,CrSf2CQAAAAJ,,b_roziere,https://fr.linkedin.com/in/baptisteroziere
Brian Karrer,9811,Wewcpo4AAAAJ,,,https://www.linkedin.com/in/brian-karrer?trk=people-guest_people_search-card
